payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Департамент ЖКГ,03365707,756.1,Департамент ЖКГ,03365707,2021-01-29,1217461;2240;відрах.на утрим.від.техн.за посл.поточ.(дрібний)ремонт дорож.покриття в Корабельному рай.м.Миколаєва;згід.звед.кошт.розрах.за 12.2020;Без ПДВ.
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,9963.57,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-01-28,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 28.12.xxxx р. зг. ЄР 93 ,ЗР 93  ;без ПДВ."
Центральний ВДВС у м.Миколаєві ПМУМ,35065742,8670.23,ДЕПАРТАМЕНТ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПО,03365707,2021-01-11,"; ;Борг з ТОВ АБК ""ЗАВТРА"" зг. в/д 915/2/20 вiд 11.08.xxxxр. ; №xxxx; Кошти за ВД, стягнуті на користь стягувача"
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,24396.51,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-01-06,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 15.12.xxxx р. зг. ЄР 38 ,ЗР 38  ;без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,14739.83,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-01-06,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 16.12.xxxx р. зг. ЄР 171 ,ЗР 171  ;без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,59814.05,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-01-25,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 22.12.xxxx р. зг. ЄР 05 ,ЗР 05  ;без ПДВ."
Департамент ЖКГ,03365707,717,Департамент ЖКГ,03365707,2021-02-15,1216030;2240;відрахув.на утрим.від.технагл.за вик.посл.поточ.(дріб.) рем.тротуару по вул.Троїцька в м.Микол.;згід.звед.кошт.розрах.за 02.2021;Без ПДВ.
Департамент ЖКГ,03365707,609,Департамент ЖКГ,03365707,2021-02-15,1216030;2240;відрахув.на утрим.від.технагл.за вик.посл.поточ.(дріб.) рем.тротуару по вул.Новозаводська в м.Микол.;згід.звед.кошт.розрах.за 02.2021;Без ПДВ.
Департамент ЖКГ,03365707,8582.73,Департамент ЖКГ,03365707,2021-02-18,1217461;2240;відрах.на утрим.від.техн.за посл.поточ.(дрібний)ремонт дорож.покриття в Корабельному рай.м.Миколаєва;згід.звед.кошт.розрах.за 12.2020;Без ПДВ.
Департамент ЖКГ,03365707,25806.39,Департамент ЖКГ,03365707,2021-02-18,1217461;2240;відр.на утр.від.техн.за вик.роб.з поточ.(дрібний) рем.дорож.покр.в Інгульському районі м.Миколаєва;згід.звед.кошт.розр.за 12.2020;БезПДВ.
Департамент ЖКГ,03365707,3073,Департамент ЖКГ,03365707,2021-02-18,1217461;2240;відр.на утр.від.техн.за вик.роб.з поточ.(дрібний) рем.дорож.покр.в Інгульському районі м.Миколаєва;згід.звед.кошт.розр.за 11.2020;БезПДВ.
Департамент ЖКГ,03365707,881.33,Департамент ЖКГ,03365707,2021-02-23,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.терит.ж/б за адр: пр.Гер. Укр.,15 А у м.Мик;згід.звед.кошт.розр.за 01.2021;БезПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,18703.8,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-02-18,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 06.01.xxxx р. зг. ЄР 33 ,ЗР 33  ;без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,3452.64,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-02-18,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 12.01.xxxx р. зг. ЄР 188 ,ЗР 188  ;без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,3852.64,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-02-24,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 15.01.xxxx р. зг. ЄР 35 ,ЗР 35  ;без ПДВ."
Департамент ЖКГ,03365707,2268,Департамент ЖКГ,03365707,2021-03-30,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.тер.ж/б в.Карпенка, 43А в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,861.31,Департамент ЖКГ,03365707,2021-03-30,"1216011;2240;відрахув.на утрим.від.технагл.за пос.з пот.рем.сис.водовід. у ж/б по пр.Гер.Укр.,17 у м.Мик.;згід.звед.кошт.розрах.за 03.2021;Без ПДВ."
Департамент ЖКГ,03365707,802.27,Департамент ЖКГ,03365707,2021-03-30,"1216011;2240;відрахув.на утрим.від.технагл.за посл.з пот.рем.ж/б в.Адміральська,23 м.Миколаєві;згід.звед.кошт.розрах.за 03.2021;Без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,4357.99,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-03-15,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  xxxx 27.01.xxxx р. зг. ЄР 203 ,ЗР 203  ;без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,4041.63,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-03-25,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  xxxx 05.02.xxxx р. зг. ЄР 110 ,ЗР 110  ;без ПДВ."
Департамент ЖКГ,03365707,455,Департамент ЖКГ,03365707,2021-03-19,"1216011;2240;відрахув.на утрим.від.технагл.за посл.з поточ.рем.ліфта в ж/б по вул.Садова,9 (л.2)у м.Миколаєві;згід.звед.кошт.розрах.за 02.2021;Без ПДВ."
Департамент ЖКГ,03365707,911,Департамент ЖКГ,03365707,2021-03-19,"1216011;2240;відрахув.на утрим.від.технагл.за посл.з поточ.рем.ліфтів в ж/б по вул.Крилова,54 (п.1,п.2)у м.Миколаєві;згід.звед.кошт.розрах.за 02.2021;Без ПДВ."
Департамент ЖКГ,03365707,871.69,Департамент ЖКГ,03365707,2021-03-19,"1216011;2240;відрахув.на утрим.від.технагл.за пос.з пот.рем.сис.хол.водопост. в ж/б по в.Космонавтів,110а у м.Мик.;згід.звед.кошт.розрах.за 03.2021;Без ПДВ."
Департамент ЖКГ,03365707,695.28,Департамент ЖКГ,03365707,2021-03-19,"1216011;2240;відрахув.на утрим.від.технагл.за пос.з пот.рем.сис.водовідвед. в ж/б по пр.Богоявленському,53а у м.Мик.;згід.звед.кошт.розрах.за 03.2021;Без ПДВ."
Департамент ЖКГ,03365707,911,Департамент ЖКГ,03365707,2021-03-19,"1216011;2240;відрахув.на утрим.від.технагл.за посл.з поточ.рем.ліфтів в ж/б по вул.Крилова,50 (п.3,п.4)у м.Миколаєві;згід.звед.кошт.розрах.за 02.2021;Без ПДВ."
Департамент ЖКГ,03365707,232.15,Департамент ЖКГ,03365707,2021-03-19,"1216011;2240;відрахув.на утрим.від.технагл.за пос.з пот.рем.вуз.та обл.ліф. в ж/б по в.Потьомкінська,17 (п.1)у м.Мик.;згід.звед.кошт.розрах.за 03.2021;Без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,23675.5,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-04-02,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 19.02.xxxx р. зг. ЄР 77 ,ЗР 77  ;без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,15581.16,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-04-01,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  xxxx 16.02.xxxx р. зг. ЄР 205 ,ЗР 205  ;без ПДВ."
Департамент ЖКГ,03365707,35.16,Департамент ЖКГ,03365707,2021-04-08,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.тер.ж/б в.Крилова, 2 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,51.53,Департамент ЖКГ,03365707,2021-04-08,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.тер.ж/б в.Ген.Карпенка, 39 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,222.44,Департамент ЖКГ,03365707,2021-04-08,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.тер.ж/б в.Ген.Карпенка, 39-А в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,3698,Департамент ЖКГ,03365707,2021-04-08,1216030;2240;відрахув.на утрим.від.технагл.за вик.посл.поточ.рем.тротуару по вул.Велика Морська в м.Миколаєві;згід.звед.кошт.розрах.за 02.2021;Без ПДВ.
Департамент ЖКГ,03365707,119.29,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відр.на утр.від.технагляду за пос. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Будівельників,18(1-3під.)у м.Мик.;зг.звед.кошт.розр.за 01.2021;БезПДВ."
Департамент ЖКГ,03365707,146.28,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Курортна,17 у м.Микол.;згід.звед.кошт.розрах.за 03.2021;Без ПДВ."
Департамент ЖКГ,03365707,98.66,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Ходченка,58-а у м.Микол.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
Департамент ЖКГ,03365707,119.29,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відр.на утр.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по в.Потьомкінська,143-а(1під.)у м.Мик.;зг.звед.кошт.розр.за 01.2021;БезПДВ."
Департамент ЖКГ,03365707,119.29,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по пр.Центральний,181 у м.Мик.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
Департамент ЖКГ,03365707,98.66,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Кузнецька,58 у м.Микол.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
Департамент ЖКГ,03365707,119.29,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрахув.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Терасна,1-а у м.Микол.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
