payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
НСЗУ,42032422,1865404.21,"КНП ММР ""МЛ №5""",01998489,2021-12-01,2308060;2240;Оплата за медичні послуги СМД; зг. дог.№ 3712-E421-P000 від 13.05.2021 звіт 0001998489S21J2A від 29.11.2021;Без ПДВ
"КНП ММР ""МЛ №5""",01998489,5966,"КНП ММР ""Міська лікарня № 5""",01998489,2021-12-14,";;Відшкод. на опл. праці  та нарах. лік-інтернам за 08.xxxxр.; дог.38/01.08.21р., звіт б/н -15.11.21р. зг. пос.№536/19.06.20р.; без ПДВ."
ВІТОВСЬКЕ ВУ ВДФССУ В МИК.ОБЛ.,41416763,7585.76,МІСЬКА ЛІКАРНЯ №5,01998489,2021-12-03,";;;Відшкодування заборгованості по ТВП КЕКВ xxxx; згідно заяви-розрахунку №xxxx 21.10.xxxx; зг. ЕР 54, ЗР 54; без ПДВ."
ВІТОВСЬКЕ ВУ ВДФССУ В МИК.ОБЛ.,41416763,166.3,МІСЬКА ЛІКАРНЯ №5,01998489,2021-12-03,";;;Відшкодування заборгованості по ТВП КЕКВ xxxx; згідно заяви-розрахунку №xxxx 21.10.xxxx; зг. ЕР 55, ЗР 55; без ПДВ."
ВІТОВСЬКЕ ВУ ВДФССУ В МИК.ОБЛ.,41416763,6913.62,МІСЬКА ЛІКАРНЯ №5,01998489,2021-12-03,";;;Відшкодування заборгованості по ТВП КЕКВ xxxx; згідно заяви-розрахунку №xxxx 22.10.xxxx; зг. ЕР 66, ЗР 66; без ПДВ."
ВІТОВСЬКЕ ВУ ВДФССУ В МИК.ОБЛ.,41416763,9486.63,МІСЬКА ЛІКАРНЯ №5,01998489,2021-12-03,";;;Відшкодування заборгованості по ТВП КЕКВ xxxx; згідно заяви-розрахунку №xxxx 21.10.xxxx; зг. ЕР 48, ЗР 48; без ПДВ."
"КНП ""МОЦЕМД та МК"" МОР",31822150,1086.94,"КНП ММР ""МЛ №5""",01998489,2021-12-29,"0712070;2610;вiд.водовiдвед.водопостач.за 11-12.2021р.;дог.7 вiд 19.02.2021р.д/у 1-17.12.2021р., рах.513 вiд 17.12.2021р.;в т ч ПДВ 181.16."
"КНП ""МОЦЕМД та МК"" МОР",31822150,1562.54,"КНП ММР ""МЛ №5""",01998489,2021-12-29,"0712070;2610;вiд.теплопостачання за 11.2021р.;дог.7 вiд 19.02.2021р.д/у 1-17.12.21р., рах.512 вiд 17.12.2021р.;в т ч ПДВ 260.42."
"КНП ""МОЦЕМД та МК"" МОР",31822150,3934.38,"КНП ММР ""МЛ №5""",01998489,2021-12-29,"0712070;2610;вiд.акт.ел.енерг.,розп.ел.енерг.,перет.реакт.ел.енерг.11-12.2021р.;дог.7 вiд 19.02.2021р.д/у1-17.12.21р., рах.514 вiд 17.12.2021р.;ПДВ 655.74."
"КНП ""МОЦЕМД та МК"" МОР",31822150,14104.7,"КНП ММР ""МЛ №5""",01998489,2021-12-29,"0712070;2610;вiд.теплопостач.за 12.2021р.;дог.7 вiд 19.02.2021р.д/у 1-17.12.21р., рах. 540 вiд 17.12.2021р.;в т ч ПДВ 2350.78."
