payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Центральний ВДВС у м.Миколаєві ПМУМ,35065742,15325.42,ДЕПАРТАМЕНТ ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПО,03365707,2021-12-16,"№ 915/1/20; 06.04.xxxx; Топор ОВ; №xxxx; Кошти за ВД, стягнуті на користь стягувача"
Департамент ЖКГ,03365707,4429.45,Департамент ЖКГ,03365707,2021-12-03,"1217310;3122;відр.на утр.від.технагл.за вик.роб.""Нове буд.світл.об.в м.Мик.по в.Малко-Терн.ріг в.А.Старова"";згідно звед.кошт.розрах.за11.21р.;БезПДВ."
Департамент ЖКГ,03365707,829.44,Департамент ЖКГ,03365707,2021-12-20,1216011;2240;відрах.на утрим.від.тех.нагл.за посл.пот.рем.прибуд.терит. ж/б по вул.Колод.10 у м.Мик;зг.зв.кошт.розрах.за 12.21.;Без ПДВ
Департамент ЖКГ,03365707,501,Департамент ЖКГ,03365707,2021-12-20,"1216011;2240;відрах.на утрим.від.тех.нагл.за посл.пот.рем.сх.кл.із зам.двер.у ж/б по вул.Чкалова,82(п.1,2) у м.Мик;зг.зв.кошт.розрах.за 11.21.;Без ПДВ"
Департамент ЖКГ,03365707,2712.79,Департамент ЖКГ,03365707,2021-12-20,1216011;2240;відрах.на утрим.від.тех.нагл.за посл.з пот.рем.ж/б по пр.Богоявл.53А у м.Мик.;зг.зв.кошт.розрах.за 11.21;Без ПДВ.
Департамент ЖКГ,03365707,248.38,Департамент ЖКГ,03365707,2021-12-20,1216011;2240;відрах.на утрим.від.тех.нагл.за посл.пот.рем.прибуд.терит. ж/б по вул.3 Слоб.28 у м.Мик;зг.зв.кошт.розрах.за 12.21.;Без ПДВ
Департамент ЖКГ,03365707,301,Департамент ЖКГ,03365707,2021-12-20,"1216011;2240;відрах.на утрим.від.техн.за посл.з пот.рем.ліф.у ж/б по в.Океанівська, 38А (п.2) у м.Мик.;зг.зв.кошт.розрах.за 11.21;Без ПДВ."
Департамент ЖКГ,03365707,808.45,Департамент ЖКГ,03365707,2021-12-20,1216011;2240;відрах.на утрим.від.тех.нагл.за посл.пот.рем.прибуд.терит. ж/б по вул.Колод.8 у м.Мик;зг.зв.кошт.розрах.за 12.21.;Без ПДВ
Департамент ЖКГ,03365707,293,Департамент ЖКГ,03365707,2021-12-20,"1216011;2240;відрах.на утрим.від.техн.за посл.з пот.рем.панд.ж/б по вул.Клодязна,5 п.2 у м.Мик.;зг.зв.кошт.розрах.за 11.21;Без ПДВ."
Департамент ЖКГ,03365707,1439.17,Департамент ЖКГ,03365707,2021-12-20,"1216011;2240;відрах.на утрим.від.тех.нагл.за посл.з пот.рем.мер.електропост.ж/б по пр.Центр,22 у м.Мик.;зг.зв.кошт.розрах.за 12.21;Без ПДВ."
Департамент ЖКГ,03365707,324,Департамент ЖКГ,03365707,2021-12-20,"1216011;2240;відрах.на утр.від.тех.нагл.за посл.з пот.рем.ліф.ж/б  по в.Океанівська, 40 (п.2) у м.Мик.;зг.зв.кошт.розрах.за 11.21;Без ПДВ."
Департамент ЖКГ,03365707,274,Департамент ЖКГ,03365707,2021-12-20,"1216011;2240;відрах.на утр.від.техн.за посл.з пот.рем.ліф.у ж/б по в.Айвазовського,11А (п.1) у м.Мик.;зг.зв.кошт.розрах.за 11.21;Без ПДВ."
Департамент ЖКГ,03365707,879.33,Департамент ЖКГ,03365707,2021-12-20,1216011;2240;відрах.на утрим.від.тех.нагл.за посл.з пот.рем.приб.тер.ж/б по вул.3Слоб.26у м.Мик;зг.зв.кошт.розрах.за 12.21;Без ПДВ.
Департамент ЖКГ,03365707,348.51,Департамент ЖКГ,03365707,2021-12-20,1216020;2240;відрахув.на утр.від.тех.нагл.за вик.пос.пот.рем.мер.зовн.осв.по в.Велика Морська в м.Мик.;згідно акту№124 від 13.12.21 за 12.2021;Без ПДВ.
Департамент ЖКГ,03365707,647.23,Департамент ЖКГ,03365707,2021-12-20,1216020;2240;відрахув.на утр.від.тех.нагл.за вик.пос.пот.рем.мер.зовн.осв.по в.Колодязна вздовж буд.№5-11 в м.Мик.;згідно акту№115від14.12.21за12.2021;Без ПДВ.
Департамент ЖКГ,03365707,687.86,Департамент ЖКГ,03365707,2021-12-20,1216020;2240;відрахув.на утр.від.тех.нагл.за вик.пос.пот.рем.мер.зовн.осв.по в.Рибна в м.Мик.;згідно акту№123 від 13.12.21 за 12.2021;Без ПДВ.
Департамент ЖКГ,03365707,655.1,Департамент ЖКГ,03365707,2021-12-20,"1216020;2240;відрахув.на утр.від.тех.нагл.за вик.пос.пот.рем.мер.зовн.осв.по в.Рюміна вздовж буд.№2,2А в м.Мик.;згідно акту№116від14.12.21за12.2021;Без ПДВ."
Департамент ЖКГ,03365707,376.8,Департамент ЖКГ,03365707,2021-12-20,1216020;2240;відрахув.на утр.від.тех.нагл.за вик.пос.пот.рем.мер.зовн.осв.по в.Глінки вздовж буд.№4-6 в м.Мик.;згідно акту№114від14.12.21за12.2021;Без ПДВ.
Департамент ЖКГ,03365707,338.64,Департамент ЖКГ,03365707,2021-12-20,1216020;2240;відрахув.на утр.від.тех.нагл.за вик.пос.пот.рем.мер.зовн.осв.по в.Степна в м.Мик.;згідно акту№117від14.12.21за11.2021;Без ПДВ.
Департамент ЖКГ,03365707,521,Департамент ЖКГ,03365707,2021-12-20,1216020;2240;відрахув.на утр.від.тех.нагл.за вик.пос.пот.рем.мер.зовн.осв.по в.Приозерна в м.Мик.;згідно акту№122 від 13.12.21 за 12.2021;Без ПДВ.
